threshold,alpha,n_active,n_bias,n_linear,n_quadratic,n_interaction,train_rmse,train_spearman,train_r2,test_rmse,test_mae,test_spearman,test_pearson,test_directional,test_r2
0.15,0.0001,15,0,0,5,10,0.9662035910659444,0.04909267363259904,0.0035072094968285894,1.031360694827644,0.8871065159630114,-0.15234150684382183,-0.16071233201825533,0.43151969981238275,-0.019480154719747622
0.15,0.001,15,0,0,5,10,0.9662035910659444,0.04909267363259904,0.0035072094968285894,1.031360694827644,0.8871065159630114,-0.15234150684382183,-0.16071233201825533,0.43151969981238275,-0.019480154719747622
0.15,0.005,15,0,0,5,10,0.9662035910659444,0.04909267363259904,0.0035072094968285894,1.031360694827644,0.8871065159630114,-0.15234150684382183,-0.16071233201825533,0.43151969981238275,-0.019480154719747622
0.15,0.01,10,0,0,3,7,0.9668242489426458,0.03494880317181252,0.0022265689541298705,1.0290627924189408,0.886206705272262,-0.12877269274119169,-0.1573113733951834,0.4427767354596623,-0.01494235111695974
0.15,0.05,9,0,0,2,7,0.9668978222172453,0.03306801921623548,0.0020747062927150006,1.028006349844324,0.884996953048799,-0.0911745867609767,-0.12937272860240556,0.45778611632270166,-0.012859527911012636
0.15,0.1,6,0,0,3,3,0.9671794793329912,0.02766073460718354,0.0014932307909367726,1.0280452929903547,0.8850771032600033,-0.14937627602957687,-0.14982537616196595,0.45590994371482174,-0.012936268066599643
0.15,0.5,5,0,0,2,3,0.967271542698144,0.02752688838868526,0.0013031310827396059,1.0268215927126076,0.8836446408225721,-0.10506994555976974,-0.11742954709168936,0.47842401500938087,-0.010526271768428908
0.15,1.0,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.2,0.0001,15,0,0,5,10,0.9662035910659444,0.04909267363259904,0.0035072094968285894,1.031360694827644,0.8871065159630114,-0.15234150684382183,-0.16071233201825533,0.43151969981238275,-0.019480154719747622
0.2,0.001,15,0,0,5,10,0.9662035910659444,0.04909267363259904,0.0035072094968285894,1.031360694827644,0.8871065159630114,-0.15234150684382183,-0.16071233201825533,0.43151969981238275,-0.019480154719747622
0.2,0.005,15,0,0,5,10,0.9662035910659444,0.04909267363259904,0.0035072094968285894,1.031360694827644,0.8871065159630114,-0.15234150684382183,-0.16071233201825533,0.43151969981238275,-0.019480154719747622
0.2,0.01,15,0,0,5,10,0.9662035910659444,0.04909267363259904,0.0035072094968285894,1.031360694827644,0.8871065159630114,-0.15234150684382183,-0.16071233201825533,0.43151969981238275,-0.019480154719747622
0.2,0.05,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.2,0.1,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
